2021-02-24 12:41:56 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:41:56 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:42:11 Line: 11, : Request start: ::1
2021-02-24 12:42:12 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:42:12 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:44:49 Line: 11, : Request start: 10.0.0.141
2021-02-24 12:45:18 Line: 11, : Request start: 10.0.0.141
2021-02-24 12:45:45 Line: 11, : Request start: 10.0.0.141
2021-02-24 12:45:45 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: ZK 4/2021
2021-02-24 12:45:45 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: 10.0.0.141
2021-02-24 12:46:41 Line: 11, : Request start: ::1
2021-02-24 12:46:42 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:46:42 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:47:21 Line: 11, : Request start: ::1
2021-02-24 12:47:22 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:47:22 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:53:52 Line: 11, : Request start: ::1
2021-02-24 12:53:53 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:53:53 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:54:54 Line: 11, : Request start: 10.0.0.141
